89 27
70 42
55 25
98 99
4 10
36 15
49 90
18 66
41 81
48 28
23 91
21 46
54 27
77 41
45 39
5 84
88 65
39 12
59 61
31 80
15 13
39 56
33 52
3 11
49 72
71 27
4 59
85 3
11 11
51 79
48 65
88 82
98 41
75 56
35 0
45 75
26 52
40 7
49 74
95 32
67 48
83 68
19 76
52 84
75 45
89 87
58 1
21 4
65 38
33 54
71 43
83 65
26 49
39 87
48 51
60 5
52 72
26 16
9 19
66 95
96 19
26 24
62 37
74 15
4 86
27 87
21 37
71 13
49 75
18 43
55 65
55 42
30 49
98 50
57 6
20 39
52 27
4 35
27 73
60 73
70 55
85 1
99 73
35 58
52 44
28 58
61 35
9 67
74 77
96 55
38 0
46 2
90 72
10 45
43 22
14 11
5 27
97 46
21 64
68 6
68 90
10 94
56 44
95 31
87 17
86 31
6 94
26 53
41 40
73 24
2 79
48 22
18 11
20 89
10 10
9 44
40 88
47 26
57 77
32 55
88 69
42 64
22 10
26 9
2 33
47 23
81 95
47 53
25 50
63 37
8 64
78 91
28 44
8 62
41 56
5 11
67 13
7 61
25 94
73 57
27 64
0 56
24 63
77 20
11 76
34 87
77 59
96 27
60 33
45 16
81 13
89 71
97 37
60 22
74 41
50 87
69 23
84 31
96 87
80 27
88 30
8 8
48 97
54 42
0 14
38 13
50 83
87 14
93 85
38 32
66 55
15 0
12 5
36 73
87 4
9 79
65 88
37 75
75 24
2 68
3 94
45 24
50 86
56 7
32 73
4 22
47 6
82 16
98 56
6 76
90 4
40 55
69 34
49 34
15 73
34 2
8 90
86 28
46 47
3 81
63 5
42 33
48 18
93 68
1 14
58 32
63 14
47 55
5 64
92 25
65 41
82 48
62 20
23 96
5 52
51 12
0 95
43 91
22 38
73 6
56 2
29 72
9 72
69 88
61 53
45 81
62 43
82 97
7 69
2 14
46 15
54 71
31 85
31 58
1 78
45 5
97 53
68 82
18 35
56 36
85 52
8 55
65 9
79 33
20 49
73 95
73 22
50 16
51 70
80 80
89 20
76 94
75 97
78 39
44 7
89 63
